#1	
double default(35,3) #Leistungskennfeld Teillast	
0	0.00001	0.00001
0.11655	0.831252252	0.92269
0.14288	0.834918919	0.92676
0.16921	0.838432432	0.93066
0.19554	0.84163964	0.93422
0.22187	0.844279279	0.93715
0.2482	0.846288288	0.93938
0.27453	0.847855856	0.94112
0.30086	0.848891892	0.94227
0.3272	0.849738739	0.94321
0.35353	0.850297297	0.94383
0.37986	0.850612613	0.94418
0.40619	0.850972973	0.94458
0.43252	0.851036036	0.94465
0.45885	0.851018018	0.94463
0.48518	0.850702703	0.94428
0.51151	0.850369369	0.94391
0.53784	0.849783784	0.94326
0.56417	0.849135135	0.94254
0.59051	0.848378378	0.9417
0.61684	0.84763964	0.94088
0.64317	0.846738739	0.93988
0.6695	0.845576577	0.93859
0.69583	0.844162162	0.93702
0.72216	0.842684685	0.93538
0.74849	0.841216216	0.93375
0.77482	0.839711712	0.93208
0.80115	0.838261261	0.93047
0.82748	0.836756757	0.9288
0.85382	0.835279279	0.92716
0.88015	0.833828829	0.92555
0.90648	0.832306306	0.92386
0.93281	0.830828829	0.92222
0.95914	0.829369369	0.9206
0.98547	0.827918919	0.91899
