#1	
double	default(35136, 2)
0	1315714.374
900	1315714.374
1800	1315714.374
2700	1347314.5
3600	1378914.627
4500	1410514.754
5400	1442114.881
6300	1420569.34
7200	1399023.799
8100	1377478.258
9000	1355932.717
9900	1384660.105
10800	1413387.493
11700	1442114.881
12600	1470842.269
13500	1600115.515
14400	1729388.762
15300	1858662.008
16200	1987935.254
17100	2232118.053
18000	2476300.852
18900	2720483.65
19800	2964666.449
20700	2977593.773
21600	2990521.098
22500	3003448.423
23400	3016375.747
24300	2987648.359
25200	2958920.971
26100	2930193.583
27000	2901466.195
27900	2882793.393
28800	2864120.59
29700	2845447.788
30600	2826774.986
31500	2786556.643
32400	2746338.299
33300	2706119.956
34200	2665901.613
35100	2641483.333
36000	2617065.053
36900	2592646.773
37800	2568228.493
38700	2548119.322
39600	2528010.15
40500	2507900.978
41400	2487791.807
42300	2476300.852
43200	2464809.896
44100	2453318.941
45000	2441827.986
45900	2433209.769
46800	2424591.553
47700	2415973.337
48600	2407355.12
49500	2407355.12
50400	2407355.12
51300	2407355.12
52200	2407355.12
53100	2424591.553
54000	2441827.986
54900	2459064.419
55800	2476300.852
56700	2510773.717
57600	2545246.583
58500	2579719.449
59400	2614192.314
60300	2648665.18
61200	2683138.046
62100	2717610.911
63000	2752083.777
63900	2780811.165
64800	2809538.553
65700	2838265.941
66600	2866993.329
67500	2887102.501
68400	2907211.673
69300	2927320.844
70200	2947430.016
71100	2940248.169
72000	2933066.322
72900	2925884.475
73800	2918702.628
74700	2854066.005
75600	2789429.382
76500	2724792.758
77400	2660156.135
78300	2562483.016
79200	2464809.896
80100	2367136.777
81000	2269463.657
81900	2122953.978
82800	1976444.299
83700	1829934.62
84600	1683424.941
85500	1631646.02
86400	1579867.099
87300	1528088.178
88200	1476309.257
89100	1511766.466
90000	1547223.676
90900	1582680.885
91800	1618138.094
92700	1593962.724
93600	1569787.354
94500	1545611.984
95400	1521436.614
96300	1553670.441
97200	1585904.267
98100	1618138.094
99000	1650371.921
99900	1795424.14
100800	1940476.36
101700	2085528.579
102600	2230580.799
103500	2504568.325
104400	2778555.851
105300	3052543.377
106200	3326530.903
107100	3341036.124
108000	3355541.346
108900	3370046.568
109800	3384551.79
110700	3352317.964
111600	3320084.137
112500	3287850.311
113400	3255616.484
114300	3234664.497
115200	3213712.51
116100	3192760.522
117000	3171808.535
117900	3126681.178
118800	3081553.821
119700	3036426.463
120600	2991299.106
121500	2963900.354
122400	2936501.601
123300	2909102.848
124200	2881704.096
125100	2859140.417
126000	2836576.739
126900	2814013.06
127800	2791449.381
128700	2778555.851
129600	2765662.32
130500	2752768.789
131400	2739875.259
132300	2730205.111
133200	2720534.963
134100	2710864.815
135000	2701194.667
135900	2701194.667
136800	2701194.667
137700	2701194.667
138600	2701194.667
139500	2720534.963
140400	2739875.259
141300	2759215.555
142200	2778555.851
143100	2817236.443
144000	2855917.035
144900	2894597.626
145800	2933278.218
146700	2971958.81
147600	3010639.402
148500	3049319.994
149400	3088000.586
150300	3120234.412
151200	3152468.239
152100	3184702.066
153000	3216935.892
153900	3239499.571
154800	3262063.249
155700	3284626.928
156600	3307190.607
157500	3299132.15
158400	3291073.693
159300	3283015.237
160200	3274956.78
161100	3202430.67
162000	3129904.56
162900	3057378.451
163800	2984852.341
164700	2875257.33
165600	2765662.32
166500	2656067.31
167400	2546472.299
168300	2382079.784
169200	2217687.268
170100	2053294.753
171000	1888902.237
171900	1843503.805
172800	1798105.374
173700	1752706.942
174600	1707308.51
175500	1748313.736
176400	1789318.962
177300	1830324.189
178200	1871329.415
179100	1843371.306
180000	1815413.197
180900	1787455.088
181800	1759496.98
