#1
#SLP with Hamburg TMY, scaled to 10 MWh yearly demand	
double default(8761,2)	
0	0
3600	0
7200	881.6903
10800	935.67134
14400	976.15712
18000	1120.10655
21600	1466.48488
25200	2163.73996
28800	2784.52191
32400	2600.08669
36000	2370.66728
39600	2186.23206
43200	2033.28579
46800	1934.32055
50400	1907.33003
54000	1898.33319
57600	1947.81581
61200	2033.28579
64800	2150.2447
68400	2289.69572
72000	2352.6736
75600	2370.66728
79200	2267.20362
82800	1979.30475
86400	1354.02439
90000	980.65553
93600	995.4876
97200	1056.43582
100800	1102.14699
104400	1264.67558
108000	1655.75999
111600	2443.00784
115200	3143.91237
118800	2935.67262
122400	2676.64268
126000	2468.40293
129600	2295.71631
133200	2183.9779
136800	2153.50379
140400	2143.34575
144000	2199.21496
147600	2295.71631
151200	2427.77078
154800	2585.22035
158400	2656.32661
162000	2676.64268
165600	2559.82526
169200	2234.76808
172800	1528.78453
176400	1107.22601
180000	1070.57859
183600	1136.12422
187200	1185.28344
190800	1360.07178
194400	1780.65622
198000	2627.28725
201600	3381.06197
205200	3157.11441
208800	2878.54549
212400	2654.59793
216000	2468.88532
219600	2348.71833
223200	2315.94552
226800	2305.02125
230400	2365.10474
234000	2468.88532
237600	2610.90084
241200	2780.22705
244800	2856.69695
248400	2878.54549
252000	2752.91637
255600	2403.33969
259200	1644.10283
262800	1190.74557
266400	1377.87463
270000	1419.80995
273600	1455.7545
277200	1569.57893
280800	1869.11689
284400	2689.85092
288000	3456.6681
291600	3217.03773
295200	3055.28723
298800	2923.49053
302400	2785.70306
306000	2683.86016
309600	2623.95256
313200	2617.9618
316800	2671.87864
320400	2743.76775
324000	2881.55521
327600	3001.3704
331200	3031.32419
334800	3025.33343
338400	2905.51825
342000	2576.02649
345600	1851.14462
349200	1473.72678
352800	1288.10322
356400	1327.30636
360000	1360.90906
363600	1467.31758
367200	1747.34002
370800	2514.60151
374400	3231.45896
378000	3007.441
381600	2856.22889
385200	2733.01901
