#1	
#SLP with Hamburg TMY, scaled to 35 MWh yearly demand
double default(8761,2)	
0	0
3600	0
7200	3427.0208
10800	3762.107265
14400	3579.33282
18000	3929.650515
21600	5269.99641
25200	7828.838605
28800	7981.150625
32400	7722.22017
36000	7524.21453
39600	7112.97202
43200	6854.041565
46800	6610.342305
50400	6488.492675
54000	6397.10547
57600	6397.10547
61200	6579.879915
64800	6930.197575
68400	7280.51527
72000	7600.37054
75600	7813.607375
79200	7752.68256
82800	7082.50963
86400	5985.86296
90000	4401.817805
93600	3792.86523
97200	4163.723165
100800	3961.43699
104400	4349.152115
108000	5832.583855
111600	8664.589885
115200	8833.161645
118800	8546.589625
122400	8327.446295
126000	7872.30248
129600	7585.730425
133200	7316.01556
136800	7181.158145
140400	7080.015075
144000	7080.015075
147600	7282.301215
151200	7670.01634
154800	8057.73143
158400	8411.732175
162000	8647.732695
165600	8580.30397
169200	7838.5881
172800	6624.87126
176400	4871.724655
180000	4029.4569
183600	4423.44826
187200	4208.543885
190800	4620.44394
194400	6196.40931
198000	9205.070455
201600	9384.15744
205200	9079.70959
208800	8846.89652
212400	8363.361685
216000	8058.913835
219600	7772.37468
223200	7629.105085
226800	7521.652915
230400	7521.652915
234000	7736.55729
237600	8148.45731
241200	8560.357365
244800	8936.439995
248400	9187.16176
252000	9115.52698
255600	8327.544295
259200	7038.11808
262800	5175.613555
266400	4544.54805
270000	4834.625565
273600	4911.97959
277200	5298.74961
280800	6555.75228
284400	9785.28215
288000	9746.605155
291600	9475.86612
295200	9379.173615
298800	9185.788605
302400	8934.38805
306000	8624.97202
309600	8547.617995
313200	8528.279515
316800	8566.95651
320400	8644.310535
324000	9011.742075
327600	9321.158105
331200	9514.543115
334800	9495.204635
338400	9282.48111
342000	8489.60252
345600	7329.292355
349200	5376.103635
352800	4296.94489
356400	4571.21798
360000	4644.35748
363600	5010.05491
367200	6198.571575
370800	9252.14521
374400	9215.57546
378000	8959.587245
381600	8868.16287
