#1	
double	default(35136, 2)
0	0
900	0
1800	0
2700	0
3600	0
4500	0
5400	0
6300	0
7200	0
8100	0
9000	0
9900	0
10800	0
11700	0
12600	0
13500	0
14400	0
15300	0
16200	0
17100	0
18000	0
18900	0
19800	0
20700	0
21600	0
22500	0
23400	0
24300	0
25200	0
26100	0
27000	0
27900	0
28800	0
29700	0
30600	10705.5
31500	16470
32400	21411
33300	54351
34200	67527
35100	78232.5
36000	88938
36900	97996.5
37800	107055
38700	114466.5
39600	121054.5
40500	126819
41400	130936.5
42300	134230.5
43200	136701
44100	137524.5
45000	137524.5
45900	136701
46800	134230.5
47700	130936.5
48600	126819
49500	121054.5
50400	114466.5
51300	107055
52200	97996.5
53100	88938
54000	78232.5
54900	67527
55800	54351
56700	21411
57600	16470
58500	10705.5
59400	0
60300	0
61200	0
62100	0
63000	0
63900	0
64800	0
65700	0
66600	0
67500	0
68400	0
69300	0
70200	0
71100	0
72000	0
72900	0
73800	0
74700	0
75600	0
76500	0
77400	0
78300	0
79200	0
80100	0
81000	0
81900	0
82800	0
83700	0
84600	0
85500	0
86400	0
87300	0
88200	0
89100	0
90000	0
90900	0
91800	0
92700	0
93600	0
94500	0
95400	0
96300	0
97200	0
98100	0
99000	0
99900	0
100800	0
101700	0
102600	0
103500	0
104400	0
105300	0
106200	0
107100	0
108000	0
108900	0
109800	0
110700	0
111600	0
112500	0
113400	0
114300	0
115200	0
116100	0
117000	10705.5
117900	16470
118800	21411
119700	54351
120600	67527
121500	78232.5
122400	88938
123300	97996.5
124200	107055
125100	114466.5
126000	121054.5
126900	126819
127800	130936.5
128700	134230.5
129600	136701
130500	137524.5
131400	137524.5
132300	136701
133200	134230.5
134100	130936.5
135000	126819
135900	121054.5
136800	114466.5
137700	107055
138600	97996.5
139500	88938
140400	78232.5
141300	67527
142200	54351
143100	21411
144000	16470
144900	10705.5
145800	0
146700	0
147600	0
148500	0
149400	0
150300	0
151200	0
152100	0
153000	0
153900	0
154800	0
155700	0
156600	0
157500	0
158400	0
159300	0
160200	0
161100	0
162000	0
162900	0
163800	0
164700	0
165600	0
166500	0
167400	0
168300	0
169200	0
170100	0
171000	0
171900	0
172800	0
173700	0
174600	0
175500	0
176400	0
177300	0
178200	0
179100	0
180000	0
180900	0
181800	0
182700	0
183600	0
184500	0
185400	0
186300	0
187200	0
188100	0
189000	0
189900	0
190800	0
191700	0
192600	0
193500	0
194400	0
195300	0
196200	0
197100	0
198000	0
198900	0
199800	0
200700	0
201600	0
202500	0
203400	10705.5
204300	16470
205200	21411
206100	54351
207000	67527
207900	78232.5
208800	88938
209700	97996.5
210600	107055
211500	114466.5
212400	121054.5
213300	126819
214200	130936.5
215100	134230.5
216000	136701
216900	137524.5
217800	137524.5
218700	136701
219600	134230.5
220500	130936.5
221400	126819
222300	121054.5
223200	114466.5
224100	107055
225000	97996.5
225900	88938
226800	78232.5
227700	67527
228600	54351
229500	21411
230400	16470
231300	10705.5
232200	0
233100	0
234000	0
234900	0
235800	0
236700	0
237600	0
238500	0
239400	0
240300	0
241200	0
242100	0
243000	0
243900	0
244800	0
245700	0
246600	0
247500	0
248400	0
249300	0
250200	0
251100	0
252000	0
252900	0
253800	0
254700	0
255600	0
256500	0
257400	0
258300	0
259200	0
260100	0
261000	0
261900	0
262800	0
263700	0
264600	0
265500	0
266400	0
267300	0
268200	0
269100	0
270000	0
270900	0
271800	0
272700	0
273600	0
274500	0
275400	0
276300	0
277200	0
278100	0
279000	0
279900	0
280800	0
281700	0
282600	0
283500	0
284400	0
285300	0
286200	0
287100	0
288000	0
288900	0
289800	10705.5
290700	16470
291600	21411
292500	54351
293400	67527
294300	78232.5
295200	88938
296100	97996.5
297000	107055
297900	114466.5
298800	121054.5
299700	126819
300600	130936.5
301500	134230.5
302400	136701
303300	137524.5
304200	137524.5
305100	136701
306000	134230.5
306900	130936.5
307800	126819
308700	121054.5
309600	114466.5
310500	107055
311400	97996.5
312300	88938
313200	78232.5
314100	67527
315000	54351
315900	21411
316800	16470
317700	10705.5
318600	0
319500	0
320400	0
321300	0
322200	0
323100	0
324000	0
324900	0
325800	0
326700	0
327600	0
328500	0
329400	0
330300	0
331200	0
332100	0
333000	0
333900	0
334800	0
335700	0
336600	0
337500	0
338400	0
339300	0
340200	0
341100	0
342000	0
342900	0
343800	0
344700	0
345600	0
346500	0
347400	0
348300	0
349200	0
350100	0
351000	0
351900	0
352800	0
353700	0
354600	0
355500	0
356400	0
357300	0
358200	0
359100	0
360000	0
360900	0
361800	0
362700	0
363600	0
364500	0
365400	0
366300	0
367200	0
368100	0
369000	0
369900	0
370800	0
371700	0
372600	0
373500	0
374400	0
375300	0
376200	10705.5
377100	16470
378000	21411
378900	54351
379800	67527
380700	78232.5
381600	88938
382500	97996.5
383400	107055
384300	114466.5
385200	121054.5
386100	126819
387000	130936.5
387900	134230.5
388800	136701
389700	137524.5
390600	137524.5
391500	136701
392400	134230.5
393300	130936.5
394200	126819
395100	121054.5
396000	114466.5
396900	107055
397800	97996.5
398700	88938
399600	78232.5
400500	67527
401400	54351
402300	21411
403200	16470
404100	10705.5
405000	0
405900	0
406800	0
407700	0
408600	0
409500	0
410400	0
411300	0
412200	0
413100	0
414000	0
414900	0
415800	0
416700	0
417600	0
418500	0
419400	0
420300	0
421200	0
422100	0
423000	0
423900	0
424800	0
425700	0
426600	0
427500	0
428400	0
429300	0
430200	0
431100	0
432000	0
432900	0
433800	0
434700	0
435600	0
436500	0
437400	0
438300	0
439200	0
440100	0
441000	0
441900	0
442800	0
443700	0
444600	0
445500	0
446400	0
447300	0
448200	0
449100	0
450000	0
450900	0
451800	0
452700	0
453600	0
454500	0
455400	0
456300	0
457200	0
458100	0
459000	0
459900	0
460800	0
461700	0
462600	10705.5
463500	16470
464400	21411
465300	54351
466200	67527
467100	78232.5
468000	88938
468900	97996.5
469800	107055
470700	114466.5
471600	121054.5
472500	126819
473400	130936.5
474300	134230.5
475200	136701
476100	137524.5
477000	137524.5
477900	136701
478800	134230.5
479700	130936.5
480600	126819
481500	121054.5
482400	114466.5
483300	107055
484200	97996.5
485100	88938
486000	78232.5
486900	67527
487800	54351
488700	21411
489600	16470
490500	10705.5
491400	0
492300	0
493200	0
494100	0
495000	0
495900	0
496800	0
497700	0
498600	0
499500	0
500400	0
501300	0
502200	0
503100	0
504000	0
504900	0
505800	0
506700	0
507600	0
508500	0
509400	0
510300	0
511200	0
512100	0
513000	0
513900	0
514800	0
515700	0
516600	0
517500	0
518400	0
519300	0
520200	0
521100	0
