#1
double	default(96,2)
0			497.8413e6
909.4737	497.8413e6
1818.947	485.3187e6
2728.421	495.9185e6
3637.895	506.6123e6
4547.368	504.8383e6
5456.842	501.8372e6
6366.316	500.8297e6
7275.789	499.8222e6
8185.263	505.1681e6
9094.737	511.2197e6
10004.21	518.2875e6
10913.68	525.3554e6
11823.16	526.4505e6
12732.63	527.2092e6
13642.11	532.5346e6
14551.58	537.86e6
15461.05	551.209e6
16370.53	564.6034e6
17280		576.5247e6
18189.47	588.0182e6
19098.95	597.508e6
20008.42	605.8743e6
20917.89	606.2266e6
21827.37	606.9425e6
22736.84	619.0903e6
23646.32	629.373e6
24555.79	634.0338e6
25465.26	637.6027e6
26374.74	637.6101e6
27284.21	633.6485e6
28193.68	621.8493e6
29103.16	610.3466e6
30012.63	599.4712e6
30922.11	587.4893e6
31831.58	572.4706e6
32741.05	550.5095e6
33650.53	507.9087e6
34560		473.6993e6
35469.47	452.6007e6
36378.95	437.0868e6
37288.42	430.8922e6
38197.89	421.2133e6
39107.37	406.271e6
40016.84	396.3047e6
40926.32	403.1906e6
41835.79	403.565e6
42745.26	395.8482e6
43654.74	389.5232e6
44564.21	385.3537e6
45473.68	386.1469e6
46383.16	392.0328e6
47292.63	396.9488e6
48202.11	399.4378e6
49111.58	397.8646e6
50021.05	392.8631e6
50930.53	390.5021e6
51840		390.5098e6
52749.47	387.9829e6
53658.95	383.697e6
54568.42	375.2456e6
55477.89	363.7169e6
56387.37	358.6124e6
57296.84	357.1604e6
58206.32	355.7273e6
59115.79	354.3039e6
60025.26	352.1208e6
60934.74	349.5227e6
61844.21	352.075e6
62753.68	356.736e6
63663.16	362.641e6
64572.63	369.0915e6
65482.11	378.2517e6
66391.58	388.6828e6
67301.05	397.484e6
68210.53	405.7242e6
69120		412.3038e6
70029.47	418.2677e6
70938.95	433.6894e6
71848.42	451.5842e6
72757.89	453.9613e6
73667.37	452.8743e6
74576.84	454.5151e6
75486.32	456.6696e6
76395.79	453.3567e6
77305.26	448.8977e6
78214.74	450.5578e6
79124.21	452.978e6
80033.68	448.2186e6
80943.16	441.6364e6
81852.63	440.2255e6
82762.11	439.1594e6
83671.58	440.4307e6
84581.05	441.8978e6
85490.53	443.393e6
86400		443.393e6
