#1
#Electrical Bio and Hydro Production Profile in W for Region2 according to energy-charts.info
double	default(8760,2)
0 -3.338e+08
3600 -3.338e+08
7200 -3.338e+08
10800 -3.3381e+08
14400 -3.3382e+08
18000 -3.3382e+08
21600 -3.3383e+08
25200 -3.3383e+08
28800 -3.3384e+08
32400 -3.3385e+08
36000 -3.3385e+08
39600 -3.3386e+08
43200 -3.3387e+08
46800 -3.3387e+08
50400 -3.3388e+08
54000 -3.3388e+08
57600 -3.3389e+08
61200 -3.339e+08
64800 -3.339e+08
68400 -3.3391e+08
72000 -3.3392e+08
75600 -3.3392e+08
79200 -3.3393e+08
82800 -3.3394e+08
86400 -3.3394e+08
90000 -3.3395e+08
93600 -3.3396e+08
97200 -3.3397e+08
1.008e+05 -3.3397e+08
1.044e+05 -3.3398e+08
1.08e+05 -3.3399e+08
1.116e+05 -3.3399e+08
1.152e+05 -3.34e+08
1.188e+05 -3.3401e+08
1.224e+05 -3.3402e+08
1.26e+05 -3.3402e+08
1.296e+05 -3.3403e+08
1.332e+05 -3.3404e+08
1.368e+05 -3.3405e+08
1.404e+05 -3.3405e+08
1.44e+05 -3.3406e+08
1.476e+05 -3.3407e+08
1.512e+05 -3.3408e+08
1.548e+05 -3.3409e+08
1.584e+05 -3.3409e+08
1.62e+05 -3.341e+08
1.656e+05 -3.3411e+08
1.692e+05 -3.3412e+08
1.728e+05 -3.3413e+08
1.764e+05 -3.3414e+08
1.8e+05 -3.3414e+08
1.836e+05 -3.3415e+08
1.872e+05 -3.3416e+08
1.908e+05 -3.3417e+08
1.944e+05 -3.3418e+08
1.98e+05 -3.3419e+08
2.016e+05 -3.342e+08
2.052e+05 -3.342e+08
2.088e+05 -3.3421e+08
2.124e+05 -3.3422e+08
2.16e+05 -3.3423e+08
2.196e+05 -3.3424e+08
2.232e+05 -3.3425e+08
2.268e+05 -3.3426e+08
2.304e+05 -3.3427e+08
2.34e+05 -3.3428e+08
2.376e+05 -3.3429e+08
2.412e+05 -3.343e+08
2.448e+05 -3.3431e+08
2.484e+05 -3.3431e+08
2.52e+05 -3.3432e+08
2.556e+05 -3.3433e+08
2.592e+05 -3.3434e+08
2.628e+05 -3.3435e+08
2.664e+05 -3.3436e+08
2.7e+05 -3.3437e+08
2.736e+05 -3.3438e+08
2.772e+05 -3.3439e+08
2.808e+05 -3.344e+08
2.844e+05 -3.3441e+08
2.88e+05 -3.3442e+08
2.916e+05 -3.3443e+08
2.952e+05 -3.3444e+08
2.988e+05 -3.3445e+08
3.024e+05 -3.3446e+08
3.06e+05 -3.3447e+08
3.096e+05 -3.3448e+08
3.132e+05 -3.3449e+08
3.168e+05 -3.345e+08
3.204e+05 -3.3452e+08
3.24e+05 -3.3453e+08
3.276e+05 -3.3454e+08
3.312e+05 -3.3455e+08
3.348e+05 -3.3456e+08
3.384e+05 -3.3457e+08
3.42e+05 -3.3458e+08
3.456e+05 -3.3459e+08
3.492e+05 -3.346e+08
3.528e+05 -3.3461e+08
3.564e+05 -3.3462e+08
3.6e+05 -3.3463e+08
3.636e+05 -3.3464e+08
3.672e+05 -3.3465e+08
3.708e+05 -3.3467e+08
3.744e+05 -3.3468e+08
3.78e+05 -3.3469e+08
3.816e+05 -3.347e+08
3.852e+05 -3.3471e+08
3.888e+05 -3.3472e+08
3.924e+05 -3.3473e+08
3.96e+05 -3.3474e+08
3.996e+05 -3.3476e+08
4.032e+05 -3.3477e+08
4.068e+05 -3.3478e+08
4.104e+05 -3.3479e+08
4.14e+05 -3.348e+08
4.176e+05 -3.3481e+08
4.212e+05 -3.3483e+08
4.248e+05 -3.3484e+08
4.284e+05 -3.3485e+08
4.32e+05 -3.3486e+08
4.356e+05 -3.3487e+08
4.392e+05 -3.3488e+08
4.428e+05 -3.349e+08
4.464e+05 -3.3491e+08
4.5e+05 -3.3492e+08
4.536e+05 -3.3493e+08
4.572e+05 -3.3494e+08
