#1
#Heat Demand Profile in W for Region2 according to T. Zimmermann, „Beitrag des Wärmesektors zur Reduzierung der Emissionen in sektorgekoppelten Energiesystemen“. PhD Thesis, Institute of Energy Systems, Hamburg University of Technology, Hamburg, 2021.
double	default(8760,2)
0 3.3217e+10
3600 3.4354e+10
7200 3.4607e+10
10800 3.7293e+10
14400 4.4153e+10
18000 5.9683e+10
21600 6.5092e+10
25200 6.3961e+10
28800 6.1097e+10
32400 5.9272e+10
36000 5.5919e+10
39600 5.4279e+10
43200 5.2314e+10
46800 5.1266e+10
50400 5.4048e+10
54000 5.4549e+10
57600 5.6165e+10
61200 5.7412e+10
64800 5.8249e+10
68400 5.7592e+10
72000 5.6531e+10
75600 5.2426e+10
79200 4.2654e+10
82800 3.5701e+10
86400 3.4869e+10
90000 3.5982e+10
93600 3.6537e+10
97200 3.8424e+10
1.008e+05 4.4241e+10
1.044e+05 5.9028e+10
1.08e+05 6.8297e+10
1.116e+05 6.8282e+10
1.152e+05 6.5446e+10
1.188e+05 6.3349e+10
1.224e+05 5.9791e+10
1.26e+05 5.7522e+10
1.296e+05 5.5366e+10
1.332e+05 5.4278e+10
1.368e+05 5.6638e+10
1.404e+05 5.6879e+10
1.44e+05 5.8389e+10
1.476e+05 5.8902e+10
1.512e+05 5.9544e+10
1.548e+05 5.9105e+10
1.584e+05 5.7817e+10
1.62e+05 5.3559e+10
1.656e+05 4.4054e+10
1.692e+05 3.6976e+10
1.728e+05 3.229e+10
1.764e+05 3.2934e+10
1.8e+05 3.3443e+10
1.836e+05 3.5488e+10
1.872e+05 4.1274e+10
1.908e+05 5.6198e+10
1.944e+05 6.5579e+10
1.98e+05 6.4593e+10
2.016e+05 6.1694e+10
2.052e+05 5.9646e+10
2.088e+05 5.6257e+10
2.124e+05 5.4356e+10
2.16e+05 5.1699e+10
2.196e+05 5.0117e+10
2.232e+05 5.2664e+10
2.268e+05 5.3021e+10
2.304e+05 5.497e+10
2.34e+05 5.5782e+10
2.376e+05 5.6585e+10
2.412e+05 5.5878e+10
2.448e+05 5.4638e+10
2.484e+05 5.0803e+10
2.52e+05 4.1385e+10
2.556e+05 3.4202e+10
2.592e+05 3.1399e+10
2.628e+05 3.2621e+10
