#1
#Electrical Demand Profile in W for Region4 according to O. Schülting, „Vergleich von Power-to-X-Konzepten zur Sektorenkopplung bei hohen regenerativen Anteilen“. PhD Thesis, Institute of Energy Systems, Hamburg University of Technology, Hamburg, 2021. https://cuvillier.de/de/shop/people/60341-oliver-schulting
double	default(8760,2)
0 5.0535e+09
3600 4.899e+09
7200 4.8515e+09
10800 4.7428e+09
14400 4.5337e+09
18000 4.1455e+09
21600 4.2392e+09
25200 4.4442e+09
28800 4.8736e+09
32400 5.1786e+09
36000 5.5685e+09
39600 5.6913e+09
43200 5.5639e+09
46800 5.5161e+09
50400 5.351e+09
54000 5.3802e+09
57600 5.6127e+09
61200 6.0956e+09
64800 6.2668e+09
68400 6.0791e+09
72000 5.6957e+09
75600 5.5545e+09
79200 5.5407e+09
82800 5.407e+09
86400 4.6945e+09
90000 4.6696e+09
93600 4.7769e+09
97200 4.8164e+09
1.008e+05 4.7987e+09
1.044e+05 4.5588e+09
1.08e+05 4.9677e+09
1.116e+05 5.7549e+09
1.152e+05 6.5804e+09
1.188e+05 6.6803e+09
1.224e+05 6.6238e+09
1.26e+05 6.5223e+09
1.296e+05 6.2475e+09
1.332e+05 6.1385e+09
1.368e+05 6.1592e+09
1.404e+05 6.5209e+09
1.44e+05 6.9885e+09
1.476e+05 7.4115e+09
1.512e+05 7.2051e+09
1.548e+05 6.5099e+09
1.584e+05 5.9261e+09
1.62e+05 5.7561e+09
1.656e+05 5.5986e+09
1.692e+05 5.3981e+09
1.728e+05 5.5588e+09
1.764e+05 5.3877e+09
1.8e+05 5.3422e+09
1.836e+05 5.2841e+09
1.872e+05 5.1491e+09
1.908e+05 4.9057e+09
1.944e+05 4.9609e+09
1.98e+05 5.2255e+09
2.016e+05 5.6085e+09
2.052e+05 5.9046e+09
2.088e+05 6.1375e+09
2.124e+05 6.1388e+09
2.16e+05 5.9884e+09
2.196e+05 5.9375e+09
2.232e+05 5.862e+09
2.268e+05 5.9273e+09
2.304e+05 6.0867e+09
2.34e+05 6.5298e+09
2.376e+05 6.5487e+09
2.412e+05 6.2026e+09
2.448e+05 5.6652e+09
2.484e+05 5.4414e+09
2.52e+05 5.3618e+09
2.556e+05 5.1751e+09
2.592e+05 5.0393e+09
2.628e+05 4.8718e+09
2.664e+05 4.8327e+09
2.7e+05 4.7425e+09
2.736e+05 4.5506e+09
2.772e+05 4.1823e+09
2.808e+05 4.296e+09
2.844e+05 4.5047e+09
2.88e+05 4.9439e+09
2.916e+05 5.2486e+09
2.952e+05 5.6353e+09
2.988e+05 5.7577e+09
3.024e+05 5.6177e+09
3.06e+05 5.5643e+09
3.096e+05 5.3981e+09
3.132e+05 5.4265e+09
3.168e+05 5.6632e+09
3.204e+05 6.1601e+09
3.24e+05 6.3293e+09
3.276e+05 6.1365e+09
3.312e+05 5.7399e+09
3.348e+05 5.5877e+09
3.384e+05 5.5582e+09
3.42e+05 5.4136e+09
3.456e+05 5.073e+09
3.492e+05 4.9547e+09
3.528e+05 4.9478e+09
3.564e+05 5.0513e+09
3.6e+05 5.2534e+09
3.636e+05 5.6524e+09
3.672e+05 6.3893e+09
3.708e+05 6.9022e+09
3.744e+05 7.1251e+09
3.78e+05 7.1884e+09
3.816e+05 7.4287e+09
3.852e+05 7.4666e+09
3.888e+05 7.4085e+09
3.924e+05 7.4157e+09
3.96e+05 7.2738e+09
3.996e+05 7.1714e+09
4.032e+05 7.1915e+09
4.068e+05 7.5098e+09
4.104e+05 7.6365e+09
4.14e+05 7.3808e+09
4.176e+05 6.781e+09
4.212e+05 6.3245e+09
4.248e+05 6.0392e+09
4.284e+05 5.7359e+09
4.32e+05 5.6907e+09
4.356e+05 5.5423e+09
4.392e+05 5.5263e+09
4.428e+05 5.5991e+09
4.464e+05 5.7077e+09
4.5e+05 5.968e+09
4.536e+05 6.5906e+09
4.572e+05 7.0446e+09
4.608e+05 7.2065e+09
4.644e+05 7.2565e+09
4.68e+05 7.4908e+09
4.716e+05 7.5093e+09
4.752e+05 7.4357e+09
4.788e+05 7.4411e+09
4.824e+05 7.298e+09
4.86e+05 7.196e+09
4.896e+05 7.2223e+09
4.932e+05 7.5338e+09
4.968e+05 7.6598e+09
5.004e+05 7.4083e+09
5.04e+05 6.8197e+09
5.076e+05 6.3803e+09
5.112e+05 6.1038e+09
5.148e+05 5.8456e+09
5.184e+05 5.6932e+09
5.22e+05 5.5468e+09
5.256e+05 5.5345e+09
5.292e+05 5.6152e+09
5.328e+05 5.7346e+09
5.364e+05 6.024e+09
5.4e+05 6.6774e+09
5.436e+05 7.1332e+09
5.472e+05 7.2906e+09
5.508e+05 7.3276e+09
5.544e+05 7.5553e+09
5.58e+05 7.5743e+09
5.616e+05 7.4953e+09
5.652e+05 7.5065e+09
5.688e+05 7.3695e+09
5.724e+05 7.2651e+09
5.76e+05 7.286e+09
5.796e+05 7.6063e+09
5.832e+05 7.7365e+09
5.868e+05 7.4786e+09
5.904e+05 6.876e+09
5.94e+05 6.4309e+09
5.976e+05 6.1495e+09
6.012e+05 5.8785e+09
6.048e+05 5.6742e+09
6.084e+05 5.5335e+09
6.12e+05 5.5232e+09
6.156e+05 5.6128e+09
6.192e+05 5.7439e+09
6.228e+05 6.0489e+09
6.264e+05 6.7164e+09
6.3e+05 7.1573e+09
6.336e+05 7.3061e+09
6.372e+05 7.3401e+09
6.408e+05 7.5661e+09
6.444e+05 7.5848e+09
6.48e+05 7.4981e+09
6.516e+05 7.5099e+09
6.552e+05 7.3763e+09
6.588e+05 7.2791e+09
6.624e+05 7.3183e+09
6.66e+05 7.6319e+09
6.696e+05 7.7357e+09
6.732e+05 7.4778e+09
6.768e+05 6.8737e+09
6.804e+05 6.4143e+09
6.84e+05 6.1019e+09
6.876e+05 5.8175e+09
6.912e+05 5.589e+09
6.948e+05 5.4514e+09
6.984e+05 5.4508e+09
7.02e+05 5.5513e+09
7.056e+05 5.7099e+09
7.092e+05 6.0606e+09
7.128e+05 6.7278e+09
7.164e+05 7.1414e+09
7.2e+05 7.2749e+09
7.236e+05 7.2909e+09
7.272e+05 7.4891e+09
7.308e+05 7.4732e+09
7.344e+05 7.3193e+09
7.38e+05 7.2478e+09
7.416e+05 7.0758e+09
7.452e+05 6.9989e+09
7.488e+05 7.0786e+09
7.524e+05 7.3579e+09
7.56e+05 7.4227e+09
7.596e+05 7.1462e+09
7.632e+05 6.5659e+09
7.668e+05 6.1176e+09
7.704e+05 5.8533e+09
7.74e+05 5.5697e+09
7.776e+05 5.4212e+09
7.812e+05 5.2473e+09
7.848e+05 5.2323e+09
7.884e+05 5.2132e+09
7.92e+05 5.1297e+09
7.956e+05 5.0055e+09
7.992e+05 5.09e+09
8.028e+05 5.3006e+09
8.064e+05 5.6268e+09
8.1e+05 5.8886e+09
8.136e+05 6.0946e+09
8.172e+05 6.0753e+09
8.208e+05 5.917e+09
8.244e+05 5.8596e+09
8.28e+05 5.7727e+09
8.316e+05 5.8456e+09
8.352e+05 6.0238e+09
8.388e+05 6.4285e+09
8.424e+05 6.4916e+09
8.46e+05 6.2144e+09
8.496e+05 5.7286e+09
8.532e+05 5.4403e+09
8.568e+05 5.2669e+09
8.604e+05 5.0441e+09
8.64e+05 4.9368e+09
8.676e+05 4.7613e+09
8.712e+05 4.7469e+09
8.748e+05 4.6901e+09
8.784e+05 4.5428e+09
8.82e+05 4.2514e+09
8.856e+05 4.3689e+09
8.892e+05 4.5529e+09
8.928e+05 4.967e+09
8.964e+05 5.2497e+09
9e+05 5.6194e+09
9.036e+05 5.7264e+09
9.072e+05 5.5838e+09
9.108e+05 5.5295e+09
9.144e+05 5.3612e+09
9.18e+05 5.3992e+09
9.216e+05 5.6391e+09
9.252e+05 6.1208e+09
9.288e+05 6.3195e+09
9.324e+05 6.1674e+09
9.36e+05 5.7931e+09
9.396e+05 5.596e+09
9.432e+05 5.4949e+09
9.468e+05 5.3324e+09
9.504e+05 5.0139e+09
9.54e+05 4.9011e+09
9.576e+05 4.911e+09
9.612e+05 5.0489e+09
9.648e+05 5.2842e+09
9.684e+05 5.7774e+09
9.72e+05 6.5615e+09
9.756e+05 7.0169e+09
9.792e+05 7.1888e+09
9.828e+05 7.2232e+09
9.864e+05 7.4499e+09
9.9e+05 7.4783e+09
9.936e+05 7.4051e+09
9.972e+05 7.4184e+09
1.0008e+06 7.2715e+09
1.0044e+06 7.1771e+09
1.008e+06 7.2159e+09
1.0116e+06 7.5258e+09
1.0152e+06 7.6705e+09
1.0188e+06 7.454e+09
1.0224e+06 6.8725e+09
1.026e+06 6.3639e+09
1.0296e+06 5.9973e+09
1.0332e+06 5.6586e+09
1.0368e+06 5.5551e+09
1.0404e+06 5.4194e+09
1.044e+06 5.4238e+09
1.0476e+06 5.5429e+09
1.0512e+06 5.7158e+09
1.0548e+06 6.121e+09
1.0584e+06 6.7866e+09
1.062e+06 7.1721e+09
1.0656e+06 7.266e+09
1.0692e+06 7.2796e+09
1.0728e+06 7.4955e+09
1.0764e+06 7.4981e+09
1.08e+06 7.4133e+09
1.0836e+06 7.418e+09
1.0872e+06 7.2713e+09
1.0908e+06 7.1807e+09
1.0944e+06 7.2387e+09
1.098e+06 7.5253e+09
1.1016e+06 7.679e+09
1.1052e+06 7.4771e+09
1.1088e+06 6.9201e+09
1.1124e+06 6.4039e+09
1.116e+06 6.0241e+09
1.1196e+06 5.7147e+09
1.1232e+06 5.5517e+09
1.1268e+06 5.4142e+09
1.1304e+06 5.418e+09
1.134e+06 5.5292e+09
1.1376e+06 5.6925e+09
1.1412e+06 6.067e+09
1.1448e+06 6.7388e+09
1.1484e+06 7.1445e+09
1.152e+06 7.2543e+09
1.1556e+06 7.2737e+09
1.1592e+06 7.4942e+09
1.1628e+06 7.5057e+09
1.1664e+06 7.4183e+09
1.17e+06 7.4251e+09
1.1736e+06 7.2827e+09
1.1772e+06 7.1878e+09
1.1808e+06 7.2426e+09
1.1844e+06 7.5477e+09
1.188e+06 7.6821e+09
1.1916e+06 7.4642e+09
1.1952e+06 6.8903e+09
1.1988e+06 6.3934e+09
1.2024e+06 6.0358e+09
1.206e+06 5.7346e+09
1.2096e+06 5.582e+09
1.2132e+06 5.4492e+09
1.2168e+06 5.4521e+09
1.2204e+06 5.5641e+09
1.224e+06 5.7215e+09
1.2276e+06 6.0942e+09
1.2312e+06 6.7643e+09
1.2348e+06 7.1637e+09
1.2384e+06 7.2734e+09
1.242e+06 7.2932e+09
1.2456e+06 7.5114e+09
1.2492e+06 7.5197e+09
1.2528e+06 7.4311e+09
1.2564e+06 7.4386e+09
1.26e+06 7.2968e+09
1.2636e+06 7.204e+09
1.2672e+06 7.2585e+09
1.2708e+06 7.5615e+09
1.2744e+06 7.6957e+09
1.278e+06 7.4775e+09
1.2816e+06 6.9035e+09
1.2852e+06 6.4038e+09
1.2888e+06 6.0439e+09
1.2924e+06 5.7399e+09
1.296e+06 5.5862e+09
1.2996e+06 5.4447e+09
1.3032e+06 5.4448e+09
1.3068e+06 5.549e+09
1.3104e+06 5.709e+09
1.314e+06 6.0674e+09
1.3176e+06 6.7336e+09
1.3212e+06 7.145e+09
1.3248e+06 7.2694e+09
1.3284e+06 7.2812e+09
1.332e+06 7.4771e+09
1.3356e+06 7.4607e+09
1.3392e+06 7.3055e+09
1.3428e+06 7.2333e+09
1.3464e+06 7.0597e+09
1.35e+06 6.9803e+09
1.3536e+06 7.0588e+09
1.3572e+06 7.3401e+09
1.3608e+06 7.4116e+09
1.3644e+06 7.1416e+09
1.368e+06 6.5659e+09
1.3716e+06 6.116e+09
1.3752e+06 5.8516e+09
1.3788e+06 5.5688e+09
1.3824e+06 5.5494e+09
1.386e+06 5.3863e+09
1.3896e+06 5.3495e+09
1.3932e+06 5.3025e+09
1.3968e+06 5.1789e+09
1.4004e+06 4.942e+09
1.404e+06 5.0105e+09
1.4076e+06 5.2713e+09
1.4112e+06 5.6495e+09
1.4148e+06 5.9344e+09
1.4184e+06 6.1614e+09
1.422e+06 6.1553e+09
1.4256e+06 5.9925e+09
1.4292e+06 5.9349e+09
1.4328e+06 5.8539e+09
1.4364e+06 5.9141e+09
1.44e+06 6.0795e+09
1.4436e+06 6.543e+09
1.4472e+06 6.5588e+09
1.4508e+06 6.214e+09
1.4544e+06 5.6688e+09
1.458e+06 5.4355e+09
1.4616e+06 5.3393e+09
1.4652e+06 5.1408e+09
1.4688e+06 5.0564e+09
1.4724e+06 4.903e+09
1.476e+06 4.8596e+09
1.4796e+06 4.7679e+09
1.4832e+06 4.5651e+09
1.4868e+06 4.179e+09
1.4904e+06 4.2889e+09
1.494e+06 4.4976e+09
1.4976e+06 4.9379e+09
1.5012e+06 5.245e+09
1.5048e+06 5.6324e+09
1.5084e+06 5.7557e+09
1.512e+06 5.6147e+09
1.5156e+06 5.5556e+09
1.5192e+06 5.3823e+09
1.5228e+06 5.4037e+09
1.5264e+06 5.6345e+09
1.53e+06 6.1353e+09
1.5336e+06 6.3231e+09
1.5372e+06 6.1348e+09
1.5408e+06 5.7342e+09
1.5444e+06 5.586e+09
1.548e+06 5.5801e+09
1.5516e+06 5.4394e+09
1.5552e+06 5.1185e+09
1.5588e+06 5.0042e+09
1.5624e+06 4.9977e+09
1.566e+06 5.0987e+09
1.5696e+06 5.2956e+09
1.5732e+06 5.6644e+09
1.5768e+06 6.4155e+09
1.5804e+06 6.9421e+09
1.584e+06 7.1506e+09
1.5876e+06 7.2033e+09
1.5912e+06 7.4397e+09
1.5948e+06 7.4753e+09
1.5984e+06 7.421e+09
1.602e+06 7.4324e+09
1.6056e+06 7.2926e+09
1.6092e+06 7.1874e+09
1.6128e+06 7.1806e+09
1.6164e+06 7.4964e+09
1.62e+06 7.656e+09
1.6236e+06 7.3999e+09
1.6272e+06 6.7946e+09
1.6308e+06 6.3458e+09
1.6344e+06 6.0739e+09
1.638e+06 5.7847e+09
1.6416e+06 5.7311e+09
1.6452e+06 5.5869e+09
1.6488e+06 5.5693e+09
1.6524e+06 5.6435e+09
1.656e+06 5.7514e+09
1.6596e+06 5.9911e+09
1.6632e+06 6.617e+09
1.6668e+06 7.0827e+09
1.6704e+06 7.2332e+09
1.674e+06 7.2774e+09
1.6776e+06 7.5065e+09
1.6812e+06 7.5202e+09
1.6848e+06 7.4468e+09
1.6884e+06 7.4637e+09
1.692e+06 7.3282e+09
1.6956e+06 7.2202e+09
1.6992e+06 7.2182e+09
1.7028e+06 7.5252e+09
1.7064e+06 7.6828e+09
1.71e+06 7.4244e+09
1.7136e+06 6.8278e+09
1.7172e+06 6.3977e+09
1.7208e+06 6.1327e+09
1.7244e+06 5.8852e+09
1.728e+06 5.7437e+09
1.7316e+06 5.5967e+09
1.7352e+06 5.5793e+09
1.7388e+06 5.6507e+09
1.7424e+06 5.7549e+09
1.746e+06 5.9818e+09
1.7496e+06 6.5997e+09
1.7532e+06 7.0685e+09
1.7568e+06 7.2118e+09
1.7604e+06 7.259e+09
1.764e+06 7.4872e+09
1.7676e+06 7.4994e+09
1.7712e+06 7.4277e+09
1.7748e+06 7.4452e+09
1.7784e+06 7.309e+09
1.782e+06 7.1997e+09
1.7856e+06 7.1953e+09
1.7892e+06 7.5002e+09
1.7928e+06 7.6712e+09
1.7964e+06 7.4127e+09
1.8e+06 6.8152e+09
1.8036e+06 6.3915e+09
1.8072e+06 6.134e+09
1.8108e+06 5.8906e+09
1.8144e+06 5.7412e+09
1.818e+06 5.5953e+09
1.8216e+06 5.5753e+09
1.8252e+06 5.6412e+09
1.8288e+06 5.7454e+09
1.8324e+06 5.9693e+09
1.836e+06 6.5867e+09
1.8396e+06 7.0584e+09
1.8432e+06 7.202e+09
1.8468e+06 7.2542e+09
1.8504e+06 7.4844e+09
1.854e+06 7.4976e+09
1.8576e+06 7.4257e+09
1.8612e+06 7.4452e+09
1.8648e+06 7.3121e+09
1.8684e+06 7.2026e+09
1.872e+06 7.1952e+09
1.8756e+06 7.4944e+09
1.8792e+06 7.6629e+09
1.8828e+06 7.4023e+09
1.8864e+06 6.8068e+09
1.89e+06 6.3828e+09
1.8936e+06 6.1285e+09
1.8972e+06 5.8841e+09
1.9008e+06 5.7405e+09
1.9044e+06 5.5975e+09
1.908e+06 5.5695e+09
1.9116e+06 5.6378e+09
1.9152e+06 5.74e+09
1.9188e+06 5.9473e+09
1.9224e+06 6.5407e+09
1.926e+06 7.026e+09
1.9296e+06 7.192e+09
1.9332e+06 7.2306e+09
1.9368e+06 7.4335e+09
1.9404e+06 7.4199e+09
1.944e+06 7.2783e+09
1.9476e+06 7.2153e+09
1.9512e+06 7.0468e+09
1.9548e+06 6.9613e+09
1.9584e+06 6.9714e+09
1.962e+06 7.2545e+09
1.9656e+06 7.3638e+09
1.9692e+06 7.0569e+09
1.9728e+06 6.4656e+09
1.9764e+06 6.0851e+09
1.98e+06 5.9203e+09
1.9836e+06 5.7036e+09
1.9872e+06 5.6933e+09
1.9908e+06 5.5119e+09
1.9944e+06 5.4615e+09
1.998e+06 5.3895e+09
2.0016e+06 5.2186e+09
2.0052e+06 4.89e+09
2.0088e+06 4.8936e+09
2.0124e+06 5.1795e+09
2.016e+06 5.5866e+09
2.0196e+06 5.877e+09
2.0232e+06 6.1088e+09
2.0268e+06 6.1028e+09
2.0304e+06 5.9514e+09
2.034e+06 5.8775e+09
2.0376e+06 5.793e+09
2.0412e+06 5.8584e+09
2.0448e+06 5.9745e+09
2.0484e+06 6.4267e+09
2.052e+06 6.5074e+09
2.0556e+06 6.157e+09
2.0592e+06 5.6137e+09
2.0628e+06 5.4158e+09
2.0664e+06 5.3878e+09
2.07e+06 5.2322e+09
2.0736e+06 5.1201e+09
2.0772e+06 4.9596e+09
2.0808e+06 4.9081e+09
2.0844e+06 4.8042e+09
2.088e+06 4.5904e+09
2.0916e+06 4.1565e+09
2.0952e+06 4.2288e+09
2.0988e+06 4.4469e+09
2.1024e+06 4.8892e+09
2.106e+06 5.2073e+09
2.1096e+06 5.5992e+09
2.1132e+06 5.7192e+09
2.1168e+06 5.5879e+09
2.1204e+06 5.5297e+09
2.124e+06 5.3629e+09
2.1276e+06 5.381e+09
2.1312e+06 5.5874e+09
2.1348e+06 6.0819e+09
2.1384e+06 6.3035e+09
2.142e+06 6.1119e+09
2.1456e+06 5.7135e+09
2.1492e+06 5.5813e+09
2.1528e+06 5.6066e+09
2.1564e+06 5.4885e+09
2.16e+06 5.1285e+09
2.1636e+06 5.0138e+09
2.1672e+06 5.0095e+09
2.1708e+06 5.1114e+09
2.1744e+06 5.3095e+09
2.178e+06 5.6866e+09
2.1816e+06 6.4416e+09
2.1852e+06 6.9624e+09
2.1888e+06 7.1724e+09
2.1924e+06 7.2249e+09
2.196e+06 7.463e+09
2.1996e+06 7.5016e+09
2.2032e+06 7.447e+09
2.2068e+06 7.4561e+09
2.2104e+06 7.3154e+09
2.214e+06 7.2077e+09
2.2176e+06 7.2018e+09
2.2212e+06 7.5174e+09
2.2248e+06 7.6756e+09
2.2284e+06 7.4181e+09
2.232e+06 6.8101e+09
2.2356e+06 6.359e+09
2.2392e+06 6.0862e+09
2.2428e+06 5.7972e+09
2.2464e+06 5.7181e+09
2.25e+06 5.5782e+09
2.2536e+06 5.5642e+09
2.2572e+06 5.6453e+09
2.2608e+06 5.7669e+09
2.2644e+06 6.0429e+09
2.268e+06 6.6904e+09
2.2716e+06 7.1416e+09
2.2752e+06 7.2884e+09
2.2788e+06 7.3185e+09
2.2824e+06 7.5452e+09
2.286e+06 7.5637e+09
2.2896e+06 7.4845e+09
2.2932e+06 7.497e+09
2.2968e+06 7.3607e+09
2.3004e+06 7.2535e+09
2.304e+06 7.264e+09
2.3076e+06 7.5795e+09
2.3112e+06 7.7191e+09
2.3148e+06 7.467e+09
2.3184e+06 6.8586e+09
2.322e+06 6.4125e+09
2.3256e+06 6.1231e+09
2.3292e+06 5.8563e+09
2.3328e+06 5.6976e+09
2.3364e+06 5.5553e+09
2.34e+06 5.5415e+09
2.3436e+06 5.6267e+09
2.3472e+06 5.7574e+09
2.3508e+06 6.0498e+09
2.3544e+06 6.7077e+09
2.358e+06 7.155e+09
2.3616e+06 7.3018e+09
2.3652e+06 7.3354e+09
2.3688e+06 7.5628e+09
2.3724e+06 7.5827e+09
2.376e+06 7.5007e+09
2.3796e+06 7.5135e+09
2.3832e+06 7.3787e+09
2.3868e+06 7.2767e+09
2.3904e+06 7.2988e+09
2.394e+06 7.6226e+09
2.3976e+06 7.75e+09
2.4012e+06 7.4907e+09
2.4048e+06 6.8795e+09
2.4084e+06 6.4306e+09
2.412e+06 6.1324e+09
2.4156e+06 5.8593e+09
2.4192e+06 5.6934e+09
2.4228e+06 5.556e+09
2.4264e+06 5.5478e+09
2.43e+06 5.6341e+09
2.4336e+06 5.7578e+09
2.4372e+06 6.0338e+09
2.4408e+06 6.6839e+09
2.4444e+06 7.1333e+09
2.448e+06 7.2812e+09
2.4516e+06 7.3155e+09
2.4552e+06 7.5441e+09
2.4588e+06 7.5594e+09
2.4624e+06 7.4752e+09
2.466e+06 7.4842e+09
2.4696e+06 7.3466e+09
2.4732e+06 7.24e+09
2.4768e+06 7.2543e+09
2.4804e+06 7.5752e+09
2.484e+06 7.7079e+09
2.4876e+06 7.4526e+09
2.4912e+06 6.8448e+09
2.4948e+06 6.3963e+09
2.4984e+06 6.1037e+09
2.502e+06 5.8347e+09
2.5056e+06 5.699e+09
2.5092e+06 5.5585e+09
2.5128e+06 5.5424e+09
2.5164e+06 5.62e+09
2.52e+06 5.7357e+09
2.5236e+06 5.9814e+09
2.5272e+06 6.6048e+09
