#1
#Gas Demand Profile in W for Region1 according to C. Bode, „Simulation of Integrated Energy Systems with a Focus on Gas Grids and Heating Technologies“. PhD Thesis, Hamburg University of Technology, Institute of Engineering Thermodynamics, Hamburg, 2021.
double	default(8760,2)
0 5.6126e+08
3600 5.6126e+08
7200 5.6126e+08
10800 5.6126e+08
14400 5.6126e+08
18000 5.6126e+08
21600 5.6126e+08
25200 5.6126e+08
28800 5.6126e+08
32400 5.6126e+08
36000 5.6126e+08
39600 5.6126e+08
43200 5.6126e+08
46800 5.6126e+08
50400 5.6126e+08
54000 5.6126e+08
57600 5.6126e+08
61200 5.6126e+08
64800 5.6126e+08
68400 5.6126e+08
72000 5.6126e+08
75600 5.6126e+08
79200 5.6126e+08
82800 5.6126e+08
86400 5.6468e+08
90000 5.6468e+08
93600 5.6468e+08
97200 5.6468e+08
1.008e+05 5.6468e+08
1.044e+05 5.6468e+08
1.08e+05 5.7016e+08
1.116e+05 5.7016e+08
1.152e+05 5.7016e+08
1.188e+05 5.7016e+08
1.224e+05 5.7016e+08
1.26e+05 5.7016e+08
1.296e+05 5.7016e+08
1.332e+05 5.7016e+08
1.368e+05 5.7016e+08
1.404e+05 5.7016e+08
1.44e+05 5.7016e+08
1.476e+05 5.7016e+08
1.512e+05 5.7016e+08
1.548e+05 5.7016e+08
1.584e+05 5.7016e+08
1.62e+05 5.7016e+08
1.656e+05 5.7016e+08
1.692e+05 5.6468e+08
1.728e+05 5.6468e+08
1.764e+05 5.6468e+08
1.8e+05 5.6468e+08
1.836e+05 5.6468e+08
1.872e+05 5.6468e+08
1.908e+05 5.6468e+08
1.944e+05 5.7016e+08
1.98e+05 5.7016e+08
2.016e+05 5.7016e+08
2.052e+05 5.7016e+08
2.088e+05 5.7016e+08
2.124e+05 5.7016e+08
2.16e+05 5.7016e+08
2.196e+05 5.7016e+08
2.232e+05 5.7016e+08
2.268e+05 5.7016e+08
2.304e+05 5.7016e+08
2.34e+05 5.7016e+08
2.376e+05 5.7016e+08
2.412e+05 5.7016e+08
2.448e+05 5.7016e+08
2.484e+05 5.7016e+08
2.52e+05 5.7016e+08
2.556e+05 5.6468e+08
2.592e+05 5.6468e+08
2.628e+05 5.6468e+08
2.664e+05 5.6468e+08
2.7e+05 5.6468e+08
2.736e+05 5.6468e+08
2.772e+05 5.6468e+08
2.808e+05 5.7016e+08
2.844e+05 5.7016e+08
2.88e+05 5.7016e+08
2.916e+05 5.7016e+08
2.952e+05 5.7016e+08
2.988e+05 5.7016e+08
3.024e+05 5.7016e+08
3.06e+05 5.7016e+08
3.096e+05 5.7016e+08
3.132e+05 5.7016e+08
3.168e+05 5.7016e+08
3.204e+05 5.7016e+08
3.24e+05 5.7016e+08
3.276e+05 5.7016e+08
3.312e+05 5.7016e+08
3.348e+05 5.7016e+08
3.384e+05 5.7016e+08
3.42e+05 5.6468e+08
3.456e+05 5.6468e+08
