#1
#Electrical PV Production Profile in W for Region2 according to O. Schülting, „Vergleich von Power-to-X-Konzepten zur Sektorenkopplung bei hohen regenerativen Anteilen“. PhD Thesis, Institute of Energy Systems, Hamburg University of Technology, Hamburg, 2021. https://cuvillier.de/de/shop/people/60341-oliver-schulting
double	default(8760,2)
0 0
3600 0
7200 0
10800 0
14400 0
18000 0
21600 0
25200 0
28800 1.4769e+05
32400 4.3711e+07
36000 1.6628e+08
39600 3.3956e+08
43200 4.7178e+08
46800 4.9489e+08
50400 4.2712e+08
54000 3.1419e+08
57600 1.2807e+08
61200 1.0502e+06
64800 0
68400 0
72000 0
75600 0
79200 0
82800 0
86400 0
90000 0
93600 0
97200 0
1.008e+05 0
1.044e+05 0
1.08e+05 0
1.116e+05 0
1.152e+05 3253.2
1.188e+05 95119
1.224e+05 5.0093e+06
1.26e+05 5.881e+07
1.296e+05 1.397e+08
1.332e+05 2.0916e+08
1.368e+05 2.6652e+08
1.404e+05 2.8205e+08
1.44e+05 1.4085e+08
1.476e+05 1.9712e+06
1.512e+05 0
1.548e+05 0
1.584e+05 0
1.62e+05 0
1.656e+05 0
1.692e+05 0
1.728e+05 0
1.764e+05 0
1.8e+05 0
1.836e+05 0
1.872e+05 0
1.908e+05 0
1.944e+05 0
1.98e+05 0
2.016e+05 13220
2.052e+05 4.198e+06
2.088e+05 1.9174e+07
2.124e+05 4.4255e+07
2.16e+05 6.3933e+07
2.196e+05 6.4127e+07
2.232e+05 4.4107e+07
2.268e+05 1.7276e+07
2.304e+05 2.6287e+06
2.34e+05 -916.65
2.376e+05 0
2.412e+05 0
2.448e+05 0
2.484e+05 0
2.52e+05 0
2.556e+05 0
2.592e+05 0
2.628e+05 0
2.664e+05 0
2.7e+05 0
2.736e+05 0
2.772e+05 0
2.808e+05 0
2.844e+05 0
2.88e+05 5.5e+05
2.916e+05 7.3074e+07
2.952e+05 2.3718e+08
2.988e+05 4.1565e+08
3.024e+05 5.4484e+08
