#1
#Electrical PV Production Profile in W for Region4 according to O. Schülting, „Vergleich von Power-to-X-Konzepten zur Sektorenkopplung bei hohen regenerativen Anteilen“. PhD Thesis, Institute of Energy Systems, Hamburg University of Technology, Hamburg, 2021. https://cuvillier.de/de/shop/people/60341-oliver-schulting
double	default(8760,2) 
0 0
3600 0
7200 0
10800 0
14400 0
18000 0
21600 0
25200 0
28800 1.6323e+05
32400 1.7973e+07
36000 4.809e+07
39600 6.0941e+07
43200 6.9768e+07
46800 8.9536e+07
50400 7.0571e+07
54000 2.7045e+07
57600 6.8883e+06
61200 -13515
64800 0
68400 0
72000 0
75600 0
79200 0
82800 0
86400 0
90000 0
93600 0
97200 0
1.008e+05 0
1.044e+05 0
1.08e+05 0
1.116e+05 0
1.152e+05 0
1.188e+05 -1.003e+06
1.224e+05 -1.4868e+07
1.26e+05 -4.439e+06
1.296e+05 3.3197e+07
1.332e+05 4.122e+07
1.368e+05 2.8378e+07
1.404e+05 1.3574e+07
1.44e+05 2.6259e+06
1.476e+05 -17703
1.512e+05 0
1.548e+05 0
1.584e+05 0
1.62e+05 0
1.656e+05 0
1.692e+05 0
1.728e+05 0
1.764e+05 0
1.8e+05 0
1.836e+05 0
1.872e+05 0
1.908e+05 0
1.944e+05 0
1.98e+05 0
2.016e+05 31612
2.052e+05 3.9301e+06
2.088e+05 1.8955e+07
2.124e+05 4.0774e+07
2.16e+05 4.7776e+07
2.196e+05 3.4149e+07
2.232e+05 1.4751e+07
2.268e+05 2.9141e+06
2.304e+05 2.5242e+05
2.34e+05 0
2.376e+05 0
2.412e+05 0
2.448e+05 0
2.484e+05 0
2.52e+05 0
2.556e+05 0
2.592e+05 0
2.628e+05 0
2.664e+05 0
2.7e+05 0
2.736e+05 0
2.772e+05 0
2.808e+05 0
2.844e+05 0
2.88e+05 38724
2.916e+05 6.3218e+06
2.952e+05 2.359e+07
2.988e+05 4.4885e+07
3.024e+05 7.5399e+07
3.06e+05 9.0134e+07
