#1
#SolarthermalProduction in W for m^2 for Region 1 according to O. Schülting, „Vergleich von Power-to-X-Konzepten zur Sektorenkopplung bei hohen regenerativen Anteilen“. PhD Thesis, Institute of Energy Systems, Hamburg University of Technology, Hamburg, 2021. https://cuvillier.de/de/shop/people/60341-oliver-schulting
double	default(8760,2)
0 0
3600 0
7200 0
10800 0
14400 0
18000 0
21600 0
25200 0
28800 0
32400 -3.706
36000 -23.057
39600 -39.533
43200 -41.077
46800 -41.665
50400 -28.387
54000 -7.1266
57600 0
61200 0
64800 0
68400 0
72000 0
75600 0
79200 0
82800 0
86400 0
90000 0
93600 0
97200 0
1.008e+05 0
1.044e+05 0
1.08e+05 0
1.116e+05 0
1.152e+05 0
1.188e+05 -6.557
1.224e+05 -20.912
1.26e+05 -17.107
1.296e+05 -3.436
1.332e+05 -0.0171
1.368e+05 0
1.404e+05 0
1.44e+05 0
1.476e+05 0
1.512e+05 0
1.548e+05 0
1.584e+05 0
1.62e+05 0
1.656e+05 0
1.692e+05 0
1.728e+05 0
1.764e+05 0
1.8e+05 0
1.836e+05 0
1.872e+05 0
1.908e+05 0
1.944e+05 0
1.98e+05 0
2.016e+05 0
2.052e+05 -0.039315
2.088e+05 -0.84544
2.124e+05 -6.9264
2.16e+05 -9.1856
2.196e+05 -1.2124
2.232e+05 -0.00010046
2.268e+05 0
2.304e+05 0
2.34e+05 0
2.376e+05 0
2.412e+05 0
2.448e+05 0
2.484e+05 0
2.52e+05 0
2.556e+05 0
2.592e+05 0
2.628e+05 0
2.664e+05 0
2.7e+05 0
2.736e+05 0
2.772e+05 0
2.808e+05 0
2.844e+05 0
2.88e+05 0
2.916e+05 -0.089133
2.952e+05 -16.886
2.988e+05 -42.5
3.024e+05 -58.975
3.06e+05 -59.061
3.096e+05 -37.499
3.132e+05 -13.949
3.168e+05 0
3.204e+05 0
3.24e+05 0
3.276e+05 0
3.312e+05 0
3.348e+05 0
3.384e+05 0
3.42e+05 0
3.456e+05 0
