#1
#Temperature in K for Region2 according to G. Erichsen, „DWD weather model data for energy system simuation: 2015“, Hamburg, 2020. http://hdl.handle.net/11420/4626
double	default(8760,2)
0 273.99
3600 273.88
7200 273.71
10800 273.61
14400 273.5
18000 273.42
21600 273.31
25200 273.37
28800 273.43
32400 273.75
36000 274.46
39600 275.17
43200 275.79
46800 276.09
50400 276.23
54000 275.88
57600 275.36
61200 275.13
64800 275
68400 274.89
72000 274.76
75600 274.73
79200 274.71
82800 274.72
86400 274.73
90000 274.81
93600 274.89
97200 274.99
1.008e+05 275.06
1.044e+05 274.92
1.08e+05 275.1
1.116e+05 275.41
1.152e+05 275.81
1.188e+05 276.34
1.224e+05 276.74
1.26e+05 277.21
1.296e+05 277.58
1.332e+05 277.84
1.368e+05 277.89
1.404e+05 277.72
1.44e+05 277.4
1.476e+05 277.28
1.512e+05 277.14
1.548e+05 276.86
1.584e+05 276.55
1.62e+05 276.21
1.656e+05 275.93
1.692e+05 275.66
1.728e+05 275.41
1.764e+05 275.28
1.8e+05 275.24
1.836e+05 275.16
1.872e+05 275.17
1.908e+05 275.15
1.944e+05 275.2
1.98e+05 275.35
2.016e+05 275.5
2.052e+05 275.76
2.088e+05 275.81
2.124e+05 275.74
2.16e+05 275.33
2.196e+05 274.91
2.232e+05 274.8
2.268e+05 274.78
2.304e+05 274.75
2.34e+05 274.68
2.376e+05 274.82
2.412e+05 275.08
2.448e+05 275.17
2.484e+05 275.13
2.52e+05 275.13
2.556e+05 275.2
2.592e+05 275.29
2.628e+05 275.4
2.664e+05 275.43
2.7e+05 275.14
2.736e+05 274.89
2.772e+05 274.53
2.808e+05 274.29
2.844e+05 274.2
2.88e+05 274.09
2.916e+05 274.65
2.952e+05 275.62
2.988e+05 276.53
3.024e+05 277.12
3.06e+05 277.44
3.096e+05 277.51
3.132e+05 277.2
3.168e+05 276.53
3.204e+05 275.95
3.24e+05 275.48
3.276e+05 275.3
3.312e+05 275.19
3.348e+05 275.05
3.384e+05 274.85
3.42e+05 274.75
3.456e+05 274.5
3.492e+05 274.24
3.528e+05 273.94
3.564e+05 273.64
3.6e+05 273.31
3.636e+05 272.97
3.672e+05 272.77
3.708e+05 272.64
3.744e+05 272.49
3.78e+05 273.05
3.816e+05 274.04
3.852e+05 275.07
3.888e+05 275.81
3.924e+05 276.25
3.96e+05 276.25
3.996e+05 275.61
4.032e+05 274.37
4.068e+05 273.7
4.104e+05 273.32
4.14e+05 273.11
4.176e+05 272.93
4.212e+05 272.67
4.248e+05 272.38
4.284e+05 272.23
4.32e+05 272.06
4.356e+05 271.89
4.392e+05 271.68
4.428e+05 271.51
4.464e+05 271.34
4.5e+05 271.32
4.536e+05 271.24
4.572e+05 271.19
4.608e+05 271.24
4.644e+05 271.89
4.68e+05 272.75
4.716e+05 273.59
4.752e+05 274.38
4.788e+05 275.03
4.824e+05 275.09
4.86e+05 274.62
4.896e+05 273.83
4.932e+05 273.43
4.968e+05 273.28
5.004e+05 273.51
5.04e+05 273.57
5.076e+05 273.73
5.112e+05 273.85
5.148e+05 274.08
5.184e+05 274.4
5.22e+05 274.68
5.256e+05 274.89
5.292e+05 275.11
5.328e+05 275.29
5.364e+05 275.36
5.4e+05 275.36
5.436e+05 275.26
5.472e+05 275.24
5.508e+05 275.44
5.544e+05 275.85
5.58e+05 276.41
5.616e+05 276.83
5.652e+05 277.01
5.688e+05 276.89
5.724e+05 276.37
5.76e+05 275.7
5.796e+05 275.26
5.832e+05 275.04
5.868e+05 274.83
5.904e+05 274.66
5.94e+05 274.48
5.976e+05 274.49
6.012e+05 274.59
6.048e+05 274.88
6.084e+05 275.25
6.12e+05 275.6
6.156e+05 276
6.192e+05 276.41
6.228e+05 276.75
6.264e+05 277.06
6.3e+05 277.34
6.336e+05 277.73
6.372e+05 278.17
6.408e+05 278.73
6.444e+05 279.26
6.48e+05 279.75
6.516e+05 280.21
6.552e+05 280.61
6.588e+05 280.93
6.624e+05 280.96
6.66e+05 280.62
6.696e+05 280.12
6.732e+05 279.73
6.768e+05 279.37
6.804e+05 279.16
6.84e+05 279.11
6.876e+05 279.09
6.912e+05 279.01
6.948e+05 278.76
6.984e+05 278.82
7.02e+05 279.23
7.056e+05 279.49
7.092e+05 279.7
7.128e+05 279.98
7.164e+05 280.33
7.2e+05 280.47
7.236e+05 280.63
7.272e+05 280.85
7.308e+05 281.19
7.344e+05 281.79
7.38e+05 282.34
7.416e+05 282.79
7.452e+05 283.1
7.488e+05 283.29
7.524e+05 282.87
7.56e+05 281.85
7.596e+05 281.25
7.632e+05 281.52
7.668e+05 282.29
7.704e+05 283.54
7.74e+05 284.7
7.776e+05 285.6
7.812e+05 285.99
7.848e+05 286.17
7.884e+05 286.2
7.92e+05 286.14
7.956e+05 286.09
7.992e+05 286.03
8.028e+05 285.95
8.064e+05 285.82
8.1e+05 285.76
8.136e+05 285.68
8.172e+05 285.64
8.208e+05 285.46
8.244e+05 285.12
8.28e+05 284.91
8.316e+05 284.3
8.352e+05 283.16
8.388e+05 282.4
8.424e+05 281.68
8.46e+05 280.94
8.496e+05 280.16
8.532e+05 279.36
8.568e+05 278.73
8.604e+05 278.16
8.64e+05 277.69
8.676e+05 277.28
8.712e+05 276.85
8.748e+05 276.53
8.784e+05 276.38
8.82e+05 276.22
8.856e+05 276
8.892e+05 275.95
8.928e+05 276
8.964e+05 276.36
9e+05 276.79
9.036e+05 277.23
9.072e+05 277.59
9.108e+05 277.84
9.144e+05 277.91
9.18e+05 277.84
9.216e+05 277.7
9.252e+05 277.67
9.288e+05 277.59
9.324e+05 277.51
9.36e+05 277.52
9.396e+05 277.61
9.432e+05 277.73
9.468e+05 277.9
9.504e+05 278.13
9.54e+05 278.21
9.576e+05 278.31
9.612e+05 278.42
9.648e+05 278.45
9.684e+05 278.52
9.72e+05 278.51
9.756e+05 278.57
9.792e+05 278.6
9.828e+05 278.76
9.864e+05 279.01
9.9e+05 279.29
9.936e+05 279.5
9.972e+05 279.65
1.0008e+06 279.74
1.0044e+06 279.87
1.008e+06 279.92
1.0116e+06 279.98
1.0152e+06 279.96
1.0188e+06 280.13
1.0224e+06 280.27
1.026e+06 280.34
1.0296e+06 280.44
1.0332e+06 280.45
1.0368e+06 280.35
1.0404e+06 280.26
1.044e+06 279.96
1.0476e+06 279.99
1.0512e+06 280.23
1.0548e+06 280.33
1.0584e+06 280.29
1.062e+06 280.19
1.0656e+06 280.28
1.0692e+06 280.88
1.0728e+06 281.98
1.0764e+06 283.11
1.08e+06 283.78
1.0836e+06 284.07
1.0872e+06 283.97
1.0908e+06 283.75
1.0944e+06 283.32
1.098e+06 282.87
1.1016e+06 282.43
1.1052e+06 282.08
1.1088e+06 281.67
1.1124e+06 281.19
1.116e+06 280.81
1.1196e+06 280.57
1.1232e+06 280.17
1.1268e+06 279.95
1.1304e+06 279.89
1.134e+06 279.06
1.1376e+06 278.33
1.1412e+06 277.67
1.1448e+06 277.16
1.1484e+06 276.94
1.152e+06 276.84
1.1556e+06 277.35
1.1592e+06 277.92
1.1628e+06 278.18
1.1664e+06 278.35
1.17e+06 277.88
1.1736e+06 277.59
1.1772e+06 277.18
1.1808e+06 276.8
1.1844e+06 276.54
1.188e+06 276.2
1.1916e+06 275.78
1.1952e+06 275.49
1.1988e+06 275.44
1.2024e+06 275.57
1.206e+06 275.76
1.2096e+06 276
1.2132e+06 276.5
1.2168e+06 277.02
1.2204e+06 277.54
1.224e+06 277.97
1.2276e+06 278.5
1.2312e+06 278.99
1.2348e+06 279.37
1.2384e+06 279.67
1.242e+06 280.15
1.2456e+06 280.83
1.2492e+06 281.51
1.2528e+06 282.07
1.2564e+06 282.46
1.26e+06 282.62
1.2636e+06 282.62
1.2672e+06 282.53
1.2708e+06 282.55
1.2744e+06 282.48
1.278e+06 282.22
1.2816e+06 282
1.2852e+06 281.66
1.2888e+06 281.31
1.2924e+06 280.92
1.296e+06 280.55
1.2996e+06 280.13
1.3032e+06 279.75
1.3068e+06 279.38
1.3104e+06 279
1.314e+06 278.58
1.3176e+06 278.22
1.3212e+06 277.98
1.3248e+06 277.87
1.3284e+06 278.02
1.332e+06 278.37
1.3356e+06 278.55
1.3392e+06 278.72
1.3428e+06 278.82
1.3464e+06 278.71
1.35e+06 278.52
1.3536e+06 278.19
1.3572e+06 277.93
1.3608e+06 277.64
1.3644e+06 277.47
1.368e+06 277.3
1.3716e+06 277.04
1.3752e+06 276.83
1.3788e+06 276.85
1.3824e+06 276.91
1.386e+06 276.84
1.3896e+06 276.69
1.3932e+06 276.51
1.3968e+06 276.24
1.4004e+06 276.05
1.404e+06 275.77
1.4076e+06 275.39
1.4112e+06 275.1
1.4148e+06 275.27
1.4184e+06 275.96
1.422e+06 276.62
1.4256e+06 277.11
1.4292e+06 277.45
1.4328e+06 277.5
1.4364e+06 277.13
1.44e+06 276.04
1.4436e+06 274.78
1.4472e+06 274.03
1.4508e+06 273.67
1.4544e+06 273.41
1.458e+06 273.32
1.4616e+06 273.26
1.4652e+06 273.13
1.4688e+06 273.03
1.4724e+06 273.05
1.476e+06 273.13
1.4796e+06 273.14
1.4832e+06 273.13
1.4868e+06 272.97
1.4904e+06 272.88
