#1
WindOffshoreProduction\RenewableWindOffshoreProductionProfile_Region4according to O. Schülting, „Vergleich von Power-to-X-Konzepten zur Sektorenkopplung bei hohen regenerativen Anteilen“. PhD Thesis, Institute of Energy Systems, Hamburg University of Technology, Hamburg, 2021. https://cuvillier.de/de/shop/people/60341-oliver-schulting
double	default(8760,2)
0 -4.807e+10
3600 -4.803e+10
7200 -4.8018e+10
10800 -4.8111e+10
14400 -4.811e+10
18000 -4.8119e+10
21600 -4.8121e+10
25200 -4.8123e+10
28800 -4.8123e+10
32400 -4.8123e+10
36000 -4.8123e+10
39600 -4.8123e+10
43200 -4.8123e+10
46800 -4.8123e+10
50400 -4.8122e+10
54000 -4.8123e+10
57600 -4.8123e+10
61200 -4.6621e+10
64800 -2.7772e+10
68400 -2.7292e+10
72000 -1.4217e+10
75600 -9.7512e+09
79200 -6.6432e+09
82800 -5.0062e+09
86400 -3.4572e+09
90000 -9.221e+08
93600 -2.241e+08
97200 -1.107e+08
1.008e+05 -1.107e+08
1.044e+05 -7.237e+08
1.08e+05 -3.8174e+09
1.116e+05 -4.4774e+09
1.152e+05 -8.474e+09
1.188e+05 -1.356e+10
1.224e+05 -1.755e+10
1.26e+05 -1.835e+10
1.296e+05 -2.9739e+10
1.332e+05 -2.8869e+10
1.368e+05 -3.0537e+10
1.404e+05 -3.0537e+10
1.44e+05 -3.0537e+10
1.476e+05 -3.788e+10
1.512e+05 -4.8123e+10
1.548e+05 -4.8123e+10
1.584e+05 -4.8123e+10
1.62e+05 -4.8123e+10
1.656e+05 -4.8123e+10
1.692e+05 -4.8123e+10
1.728e+05 -4.8123e+10
1.764e+05 -4.8123e+10
1.8e+05 -4.8123e+10
1.836e+05 -4.8123e+10
1.872e+05 -4.8123e+10
1.908e+05 -4.8123e+10
1.944e+05 -4.8123e+10
1.98e+05 -4.8123e+10
2.016e+05 -4.8021e+10
2.052e+05 -4.7981e+10
2.088e+05 -4.7912e+10
2.124e+05 -4.6347e+10
2.16e+05 -4.3225e+10
2.196e+05 -3.9104e+10
2.232e+05 -3.9882e+10
2.268e+05 -4.2635e+10
2.304e+05 -4.6418e+10
2.34e+05 -4.6496e+10
2.376e+05 -4.7829e+10
2.412e+05 -4.8107e+10
2.448e+05 -4.8123e+10
2.484e+05 -4.8123e+10
2.52e+05 -4.8122e+10
2.556e+05 -4.8067e+10
2.592e+05 -4.7955e+10
2.628e+05 -4.8075e+10
2.664e+05 -4.7972e+10
2.7e+05 -4.7095e+10
2.736e+05 -4.6315e+10
2.772e+05 -4.6322e+10
2.808e+05 -4.6817e+10
2.844e+05 -4.6899e+10
2.88e+05 -4.5243e+10
2.916e+05 -3.8023e+10
2.952e+05 -2.8186e+10
2.988e+05 -2.0219e+10
3.024e+05 -1.9367e+10
3.06e+05 -2.1525e+10
3.096e+05 -2.3406e+10
3.132e+05 -2.21e+10
3.168e+05 -2.6492e+10
3.204e+05 -2.6788e+10
3.24e+05 -3.1588e+10
3.276e+05 -3.5395e+10
3.312e+05 -3.7623e+10
3.348e+05 -3.603e+10
3.384e+05 -3.6551e+10
3.42e+05 -3.4146e+10
3.456e+05 -3.2515e+10
3.492e+05 -3.7931e+10
3.528e+05 -4.012e+10
3.564e+05 -3.9803e+10
3.6e+05 -3.7662e+10
3.636e+05 -3.2001e+10
3.672e+05 -2.5348e+10
3.708e+05 -2.1644e+10
3.744e+05 -2.1692e+10
3.78e+05 -2.3484e+10
3.816e+05 -2.446e+10
3.852e+05 -2.6618e+10
3.888e+05 -2.6811e+10
3.924e+05 -2.9675e+10
3.96e+05 -2.4738e+10
3.996e+05 -2.3315e+10
4.032e+05 -2.0189e+10
4.068e+05 -1.6859e+10
4.104e+05 -1.7714e+10
4.14e+05 -1.3132e+10
4.176e+05 -1.1507e+10
4.212e+05 -9.4046e+09
4.248e+05 -7.9371e+09
4.284e+05 -8.1927e+09
4.32e+05 -9.7257e+09
4.356e+05 -9.8862e+09
4.392e+05 -8.8086e+09
4.428e+05 -5.8858e+09
4.464e+05 -6.2969e+09
4.5e+05 -7.9978e+09
4.536e+05 -1.1337e+10
4.572e+05 -1.6758e+10
4.608e+05 -2.2378e+10
4.644e+05 -2.2782e+10
4.68e+05 -2.5942e+10
4.716e+05 -3.6043e+10
4.752e+05 -3.9598e+10
4.788e+05 -4.16e+10
4.824e+05 -4.5008e+10
4.86e+05 -4.4312e+10
4.896e+05 -3.9056e+10
4.932e+05 -3.7326e+10
4.968e+05 -3.5996e+10
5.004e+05 -3.6074e+10
5.04e+05 -3.8698e+10
5.076e+05 -4.4673e+10
5.112e+05 -4.5074e+10
5.148e+05 -4.4698e+10
5.184e+05 -4.0955e+10
5.22e+05 -3.5404e+10
5.256e+05 -2.6165e+10
5.292e+05 -2.8194e+10
5.328e+05 -3.4266e+10
5.364e+05 -3.5908e+10
5.4e+05 -3.5639e+10
5.436e+05 -3.2519e+10
5.472e+05 -3.3697e+10
5.508e+05 -3.9789e+10
5.544e+05 -4.5872e+10
5.58e+05 -4.7484e+10
5.616e+05 -4.7852e+10
5.652e+05 -4.7971e+10
5.688e+05 -4.7772e+10
5.724e+05 -4.8017e+10
5.76e+05 -4.8107e+10
5.796e+05 -4.8068e+10
5.832e+05 -4.8111e+10
5.868e+05 -4.8096e+10
5.904e+05 -4.8123e+10
5.94e+05 -4.8123e+10
5.976e+05 -4.8123e+10
6.012e+05 -4.8123e+10
6.048e+05 -4.7611e+10
6.084e+05 -4.7611e+10
6.12e+05 -4.8123e+10
6.156e+05 -4.8123e+10
