#1
#Electrical Wind Production Profile in W for Region4 according to O. Schülting, „Vergleich von Power-to-X-Konzepten zur Sektorenkopplung bei hohen regenerativen Anteilen“. PhD Thesis, Institute of Energy Systems, Hamburg University of Technology, Hamburg, 2021. https://cuvillier.de/de/shop/people/60341-oliver-schulting
double	default(8760,2)
0 -3.5874e+10
3600 -3.3685e+10
7200 -3.0791e+10
10800 -3.2262e+10
14400 -3.2202e+10
18000 -3.6068e+10
21600 -3.7719e+10
25200 -3.8618e+10
28800 -3.7928e+10
32400 -3.8948e+10
36000 -4.0498e+10
39600 -4.2514e+10
43200 -4.3617e+10
46800 -4.2775e+10
50400 -4.2447e+10
54000 -4.2366e+10
57600 -4.3425e+10
61200 -4.4863e+10
64800 -4.5907e+10
68400 -4.626e+10
72000 -4.6683e+10
75600 -4.6827e+10
79200 -4.6963e+10
82800 -4.6872e+10
86400 -4.6916e+10
90000 -4.6625e+10
93600 -4.6809e+10
97200 -4.585e+10
1.008e+05 -4.5488e+10
1.044e+05 -4.6422e+10
1.08e+05 -4.7051e+10
1.116e+05 -4.7372e+10
1.152e+05 -4.7399e+10
1.188e+05 -4.7422e+10
1.224e+05 -4.7285e+10
1.26e+05 -4.725e+10
1.296e+05 -4.7224e+10
1.332e+05 -4.7213e+10
1.368e+05 -4.7241e+10
1.404e+05 -4.7133e+10
1.44e+05 -4.7289e+10
1.476e+05 -4.7145e+10
1.512e+05 -4.7117e+10
1.548e+05 -4.6992e+10
1.584e+05 -4.697e+10
1.62e+05 -4.7033e+10
1.656e+05 -4.7011e+10
1.692e+05 -4.6977e+10
1.728e+05 -4.6639e+10
1.764e+05 -4.6472e+10
1.8e+05 -4.6306e+10
1.836e+05 -4.6187e+10
1.872e+05 -4.6099e+10
1.908e+05 -4.6435e+10
1.944e+05 -4.6421e+10
1.98e+05 -4.6716e+10
2.016e+05 -4.7001e+10
2.052e+05 -4.7004e+10
2.088e+05 -4.7071e+10
2.124e+05 -4.6535e+10
2.16e+05 -4.5722e+10
2.196e+05 -4.5123e+10
2.232e+05 -4.3086e+10
2.268e+05 -4.0384e+10
2.304e+05 -3.823e+10
2.34e+05 -3.3951e+10
2.376e+05 -3.078e+10
2.412e+05 -3.1555e+10
2.448e+05 -3.6153e+10
2.484e+05 -3.9747e+10
2.52e+05 -4.2127e+10
2.556e+05 -4.2623e+10
2.592e+05 -4.2675e+10
2.628e+05 -4.1512e+10
2.664e+05 -4.0362e+10
2.7e+05 -4.1109e+10
2.736e+05 -4.0012e+10
2.772e+05 -4.1488e+10
2.808e+05 -4.121e+10
2.844e+05 -4.0588e+10
2.88e+05 -4.063e+10
2.916e+05 -3.8515e+10
2.952e+05 -3.7609e+10
2.988e+05 -3.8167e+10
3.024e+05 -3.9565e+10
3.06e+05 -4.0048e+10
3.096e+05 -3.7642e+10
3.132e+05 -3.371e+10
3.168e+05 -3.0682e+10
3.204e+05 -2.6915e+10
3.24e+05 -2.5126e+10
3.276e+05 -2.381e+10
3.312e+05 -2.357e+10
3.348e+05 -2.411e+10
3.384e+05 -2.5604e+10
3.42e+05 -3.0578e+10
3.456e+05 -3.3005e+10
3.492e+05 -3.3721e+10
3.528e+05 -3.5341e+10
3.564e+05 -3.5053e+10
3.6e+05 -3.4812e+10
3.636e+05 -3.6002e+10
3.672e+05 -3.4736e+10
3.708e+05 -3.3289e+10
3.744e+05 -3.1234e+10
3.78e+05 -2.7794e+10
3.816e+05 -2.2415e+10
3.852e+05 -1.9098e+10
3.888e+05 -1.7382e+10
3.924e+05 -1.3894e+10
3.96e+05 -9.4483e+09
